data__Global.Name,data__Region.Name,data__Sub.region.Name,data__Country.or.Area,data__alpha3,data__Developed...Developing.Countries,data__Least.Developed.Countries..LDC.,data__Intermediate.Region.Code,data__Intermediate.Region.Name,subregion,region,cnnRegion
World,Americas,Latin America and the Caribbean,Barbados,BRB,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Bonaire,BES,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,British Virgin Islands,VGB,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Cayman Islands,CYM,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Cuba,CUB,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Curaçao,CUW,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Dominica,DMA,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Dominican Republic,DOM,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Grenada,GRD,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Guadeloupe,GLP,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Haiti,HTI,Developing,x,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Jamaica,JAM,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Martinique,MTQ,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Montserrat,MSR,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Puerto Rico,PRI,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Saint Barthélemy,BLM,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Saint Kitts and Nevis,KNA,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Saint Lucia,LCA,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Saint Martin (French Part),MAF,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,VCT,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Sint Maarten (Dutch part),SXM,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Trinidad and Tobago,TTO,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Turks and Caicos Islands,TCA,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,United States Virgin Islands,VIR,Developing,,29,Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Belize,BLZ,Developing,,13,Central America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Costa Rica,CRI,Developing,,13,Central America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,El Salvador,SLV,Developing,,13,Central America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Guatemala,GTM,Developing,,13,Central America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Honduras,HND,Developing,,13,Central America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Mexico,MEX,Developing,,13,Central America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Nicaragua,NIC,Developing,,13,Central America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Panama,PAN,Developing,,13,Central America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Argentina,ARG,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),BOL,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
World,Americas,Latin America and the Caribbean,Bouvet Island,BVT,Developing,,5,South America,Latin America and the Caribbean,Americas,Latin America and the Caribbean
