date,code,name,totalDoses,peopleVaccinated,peopleFullyVaccinated,total_boosters,dailyDosesAvg,totalDosesPer100,peopleVaccinatedPer100,peopleFullyVaccinatedPer100,total_boosters_per_hundred,dailyDosesAvgPer1M,daily_people_vaccinated,daily_people_vaccinated_per_hundred,firstShotDate,vaccines,cnnRegion
2022-01-10,MAR,Morocco,51203047,24695000,23079874,NA,71673,137.11,66.13,61.8,NA,1919,4329,0.012,2021-01-28,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Africa
2022-01-10,MOZ,Mozambique,17031660,9643588,7388072,NA,268237,52.95,29.98,22.97,NA,8340,115052,0.358,2021-03-08,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Africa
2022-01-01,MMR,Myanmar,36388358,20816441,15571917,NA,215682,66.39,37.98,28.41,NA,3935,94628,0.173,2021-01-27,"Oxford/AstraZeneca, Sinopharm/Beijing",Asia
2022-01-06,"NAM",Namibia,749624,405410,344214,NA,638,28.97,15.67,13.3,NA,247,274,0.011,2021-03-19,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Africa
2021-08-31,NRU,Nauru,14863,7612,7251,NA,2,136.7,70.01,66.69,NA,184,2,0.018,2021-04-09,Oxford/AstraZeneca,Oceania
2022-01-04,NPL,Nepal,25275254,14564533,10710721,NA,219116,85.17,49.08,36.09,NA,7384,154223,0.52,2021-01-27,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Asia
2022-01-08,NLD,Netherlands,30291622,13330480,12258952,5569554,121865,176.39,77.62,71.38,32.43,7096,840,0.005,2021-01-06,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-11,NCL,New Caledonia,359372,184033,175339,NA,130,124.69,63.85,60.84,NA,451,61,0.021,2021-01-20,Pfizer/BioNTech,Oceania
2022-01-11,NZL,New Zealand,8494784,3983661,3882793,628330,41689,165.83,77.77,75.8,12.27,8138,1154,0.023,2021-02-20,"Oxford/AstraZeneca, Pfizer/BioNTech",Oceania
2022-01-07,NIC,Nicaragua,7980576,4941846,3038730,NA,21715,119.07,73.73,45.34,NA,3240,6943,0.104,2021-03-02,"Abdala, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Soberana02, Sputnik Light, Sputnik V",Latin America and the Caribbean
2022-01-10,NER,Niger,1778173,1424863,1010152,NA,18757,7.08,5.67,4.02,NA,746,21340,0.085,2021-03-29,"Oxford/AstraZeneca, Sinopharm/Beijing",Africa
2022-01-09,NGA,Nigeria,16694633,11738772,4785226,NA,245463,7.9,5.55,2.26,NA,1161,185971,0.088,2021-03-05,Oxford/AstraZeneca,Africa
2021-08-02,NIU,Niue,2352,1202,1150,NA,42,145.72,74.47,71.25,NA,26022,1,0.062,2021-06-03,Oxford/AstraZeneca,Oceania
2021-12-26,MKD,North Macedonia,1755026,842871,816777,95378,1969,84.27,40.47,39.22,4.58,945,351,0.017,2021-02-17,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Europe
2021-11-26,OWID_CYN,Northern Cyprus,617389,284357,275988,80243,6011,161.52,74.39,72.2,20.99,15726,721,0.189,2021-01-15,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Europe
2022-01-10,NOR,Norway,10168450,4293328,3941701,1933421,52990,186.04,78.55,72.12,35.37,9695,1145,0.021,2020-12-27,"Moderna, Pfizer/BioNTech",Europe
2021-12-26,OMN,Oman,6118018,3121894,2902254,NA,10244,117.13,59.77,55.56,NA,1961,91,0.002,2020-12-27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Asia
2022-01-11,PAK,Pakistan,163648656,100410291,75225220,NA,535435,72.67,44.59,33.4,NA,2378,264205,0.117,2021-02-02,"CanSino, Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Asia
2021-12-27,PSE,West Bank + Gaza,3383211,2066723,1515699,NA,9634,64.78,39.57,29.02,NA,1845,1954,0.037,2021-02-02,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",Asia
2022-01-11,PAN,Panama,6090718,3041778,2478604,570336,24492,139.01,69.42,56.57,13.02,5590,1667,0.038,2021-01-20,"Oxford/AstraZeneca, Pfizer/BioNTech",Latin America and the Caribbean
2022-01-11,PNG,Papua New Guinea,515459,288879,226580,NA,650,5.65,3.17,2.48,NA,71,292,0.003,2021-03-31,Oxford/AstraZeneca,Oceania
2022-01-07,PRY,Paraguay,7088227,3489018,3002843,596366,28290,98.18,48.33,41.59,8.26,3918,2133,0.03,2021-02-22,"Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Latin America and the Caribbean
2022-01-08,PER,Peru,51466857,24624624,21889294,4952939,202893,154.28,73.82,65.62,14.85,6082,17958,0.054,2021-02-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Latin America and the Caribbean
2022-01-11,PHL,Philippines,115303412,NA,53389481,3855924,744828,103.83,NA,48.08,3.47,6707,NA,NA,2021-03-01,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Asia
2021-09-07,PCN,Pitcairn,94,47,47,NA,0,200,100,100,NA,0,0,0,2021-05-18,Oxford/AstraZeneca,Oceania
2022-01-11,POL,Poland,48643742,21913582,21329145,8023619,170789,128.7,57.98,56.43,21.23,4519,24252,0.064,2020-12-27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-09,PRT,Portugal,19872031,9214627,9136958,3439815,68726,195.44,90.62,89.86,33.83,6759,260,0.003,2020-12-27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-10,QAT,Qatar,5317308,NA,NA,NA,13324,181.45,NA,NA,NA,4547,NA,NA,2020-12-23,"Moderna, Pfizer/BioNTech",Asia
2022-01-10,ROU,Romania,16075236,NA,7886538,NA,27656,84.04,NA,41.23,NA,1446,NA,NA,2020-12-27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-11,RUS,Russia,148312773,74371719,67724622,7833082,224239,101.65,50.97,46.41,5.37,1537,73573,0.05,2020-12-05,"EpiVacCorona, Sputnik V",Europe
2022-01-06,RWA,Rwanda,13447741,7722485,5528620,NA,44993,101.29,58.17,41.64,NA,3389,15833,0.119,2021-02-14,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Africa
2021-05-05,SHN,"Saint Helena, Ascension and Tristan da Cunha",7892,4361,3531,NA,97,129.48,71.55,57.93,NA,15915,0,0,2021-01-26,Oxford/AstraZeneca,Africa
2022-01-07,KNA,Saint Kitts and Nevis,55590,27741,25789,2060,86,103.82,51.81,48.16,3.85,1606,15,0.028,2021-02-22,"Oxford/AstraZeneca, Pfizer/BioNTech",Latin America and the Caribbean
2022-01-11,LCA,Saint Lucia,106184,56162,50022,NA,121,57.58,30.46,27.13,NA,656,49,0.027,2021-02-17,"Oxford/AstraZeneca, Pfizer/BioNTech",Latin America and the Caribbean
2021-12-28,VCT,Saint Vincent and the Grenadines,61198,33494,26244,NA,76,55,30.1,23.59,NA,683,16,0.014,2021-02-01,Oxford/AstraZeneca,Latin America and the Caribbean
2022-01-11,WSM,Samoa,264438,141724,122714,NA,57,132.12,70.81,61.31,NA,285,14,0.007,2021-04-18,Oxford/AstraZeneca,Oceania
2022-01-02,SMR,San Marino,56799,24369,21685,NA,204,167.01,71.65,63.76,NA,5998,4,0.012,2021-02-25,"Pfizer/BioNTech, Sputnik V",Europe
2021-12-13,STP,Sao Tome and Principe,137612,86396,51216,NA,848,61.61,38.68,22.93,NA,3796,175,0.078,2021-03-15,Oxford/AstraZeneca,Africa
2022-01-11,SAU,Saudi Arabia,53099212,25151615,23390648,4556949,195414,150.25,71.17,66.19,12.89,5529,12440,0.035,2020-12-17,"Oxford/AstraZeneca, Pfizer/BioNTech",Asia
2022-01-06,SEN,Senegal,2360122,1365479,994643,NA,9173,13.72,7.94,5.78,NA,533,1542,0.009,2021-02-23,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Africa
2022-01-09,SRB,Serbia,8296523,3317049,3222809,1756665,758,120.74,48.27,46.9,25.56,110,112,0.002,2020-12-24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Europe
2021-12-28,SYC,Seychelles,183472,82348,78263,NA,13,185.49,83.26,79.13,NA,131,2,0.002,2021-01-10,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Africa
2021-12-08,SLE,Sierra Leone,923880,747044,385232,NA,4596,11.35,9.18,4.73,NA,565,3651,0.045,2021-03-22,"Oxford/AstraZeneca, Sinopharm/Beijing",Africa
2022-01-10,SGP,Singapore,12132375,4821829,4726199,2584347,50281,222.47,88.42,86.66,47.39,9220,6632,0.122,2020-12-30,"Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Asia
2022-01-07,SXM,Sint Maarten,52531,27247,25284,NA,15,120.98,62.75,58.23,NA,345,7,0.016,2021-02-22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Latin America and the Caribbean
2022-01-11,SVK,Slovakia,6363859,2739535,2604633,1162683,20351,116.54,50.17,47.7,21.29,3727,1895,0.035,2020-12-26,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Europe
2022-01-11,SVN,Slovenia,2822747,1254613,1197788,516729,6896,135.79,60.35,57.62,24.86,3317,463,0.022,2020-12-27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-04,SLB,Solomon Islands,246124,185485,60639,NA,680,34.96,26.35,8.61,NA,966,367,0.052,2021-03-24,Oxford/AstraZeneca,Oceania
2021-12-26,SOM,Somalia,1504914,1203131,810010,NA,22239,9.2,7.35,4.95,NA,1359,18905,0.116,2021-03-16,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Africa
2022-01-11,ZAF,South Africa,28496140,19276663,16179962,NA,49005,47.46,32.11,26.95,NA,816,30224,0.05,2021-02-17,"Johnson&Johnson, Pfizer/BioNTech",Africa
2022-01-11,KOR,South Korea,107934846,44411026,43219688,21815253,444572,210.38,86.56,84.24,42.52,8665,18478,0.036,2021-02-26,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Asia
2022-01-09,SSD,South Sudan,288900,245004,199740,NA,810,2.54,2.15,1.75,NA,71,710,0.006,2021-04-06,"Johnson&Johnson, Oxford/AstraZeneca",Africa
2022-01-10,ESP,Spain,85731280,40118975,38093934,16087053,174978,183.4,85.82,81.49,34.41,3743,36997,0.079,2020-12-27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-11,LKA,Sri Lanka,34256390,16020257,13862165,4373968,42584,159.35,74.52,64.48,20.35,1981,3635,0.017,2021-01-29,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Asia
2021-12-15,SDN,Sudan,5251235,4016849,1234386,NA,282083,11.69,8.94,2.75,NA,6281,176341,0.393,2021-03-09,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Africa
2022-01-08,SUR,Suriname,492421,262555,229866,NA,342,83.21,44.37,38.84,NA,578,132,0.022,2021-02-23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Latin America and the Caribbean
2022-01-11,SWE,Sweden,17965486,7777203,7439495,2748544,39362,176.82,76.55,73.22,27.05,3874,2744,0.027,2020-12-27,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-10,CHE,Switzerland,14410512,6004866,5862764,2663841,69452,165.34,68.9,67.27,30.56,7969,3842,0.044,2020-12-23,"Moderna, Pfizer/BioNTech",Europe
2022-01-03,SYR,Syria,2925563,2277523,883478,NA,90157,16.01,12.46,4.83,NA,4933,83279,0.456,2021-02-28,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",Asia
2022-01-07,TWN,Taiwan,35306926,18766646,16540280,274304,62113,148.01,78.67,69.34,1.15,2604,7684,0.032,2021-03-22,"Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Asia
2021-12-26,TJK,Tajikistan,6605225,3709690,2895535,NA,45411,67.75,38.05,29.7,NA,4658,27042,0.277,2021-03-23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Asia
2021-12-28,TZA,Tanzania,2431769,2079930,1359225,NA,33284,3.95,3.38,2.21,NA,541,22138,0.036,2021-07-28,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",Africa
2021-12-27,THA,Thailand,102681943,51032649,45423045,6226249,374147,146.79,72.96,64.94,8.9,5349,66022,0.094,2021-02-28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Asia
2022-01-04,TLS,East Timor,1210070,665588,544482,NA,1006,90.04,49.53,40.52,NA,749,188,0.014,2021-04-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Asia
2022-01-07,TGO,Togo,2446683,1399760,1040674,NA,4723,28.86,16.51,12.27,NA,557,1146,0.014,2021-03-10,Oxford/AstraZeneca,Africa
2021-10-12,TKL,Tokelau,1936,968,968,NA,17,141.52,70.76,70.76,NA,12427,0,0,2021-07-20,Pfizer/BioNTech,Oceania
2022-01-11,TON,Tonga,138148,73956,64192,NA,196,129.4,69.27,60.13,NA,1836,10,0.009,2021-04-15,Oxford/AstraZeneca,Oceania
2022-01-09,TTO,Trinidad and Tobago,1435282,721124,674530,90134,3711,102.27,51.39,48.06,6.42,2644,1202,0.086,2021-02-17,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Latin America and the Caribbean
2022-01-11,TUN,Tunisia,12445869,7011812,6069911,935615,20604,104.27,58.75,50.85,7.84,1726,8127,0.068,2021-03-13,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Africa
2022-01-11,TUR,Turkey,137428160,57157272,51976752,28294136,554539,161.6,67.21,61.12,33.27,6521,24605,0.029,2021-01-13,"Pfizer/BioNTech, Sinovac",Asia
2021-08-29,TKM,Turkmenistan,7580976,4374694,3206282,NA,41369,123.91,71.51,52.41,NA,6762,23860,0.39,2021-02-03,"EpiVacCorona, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Asia
2021-11-05,TCA,Turks and Caicos Islands,56343,29210,27133,NA,69,143.64,74.47,69.17,NA,1759,32,0.082,2021-01-11,Pfizer/BioNTech,Latin America and the Caribbean
2021-10-22,TUV,Tuvalu,12114,6230,5884,NA,30,101.58,52.24,49.34,NA,2516,0,0,2021-04-14,Oxford/AstraZeneca,Oceania
2022-01-10,UGA,Uganda,12220106,10410479,1809627,NA,77788,25.93,22.09,3.84,NA,1651,97889,0.208,2021-03-10,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Africa
2022-01-11,UKR,Ukraine,28971706,14875714,14116672,NA,55384,66.65,34.22,32.48,NA,1274,18199,0.042,2021-02-24,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Europe
2022-01-11,ARE,United Arab Emirates,22895785,9890188,9168204,3837393,28564,229.16,98.99,91.76,38.41,2859,186,0.002,2020-12-31,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",Asia
2022-01-10,GBR,United Kingdom,135551676,51992559,47745458,35813659,269178,198.74,76.23,70,52.51,3946,24558,0.036,2020-12-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-11,USA,United States,521156804,247321023,206339750,76260174,714866,156.97,74.49,62.15,22.97,2153,197122,0.059,2020-12-14,"Johnson&Johnson, Moderna, Pfizer/BioNTech",North America
2022-01-11,URY,Uruguay,7045422,2777670,2680508,1587244,8786,202.16,79.7,76.91,45.54,2521,1061,0.03,2021-03-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Latin America and the Caribbean
2022-01-11,UZB,Uzbekistan,39949291,18933958,NA,NA,97860,117.72,55.79,NA,NA,2884,12799,0.038,2021-04-01,"Moderna, Oxford/AstraZeneca, Sputnik V, ZF2001",Asia
2021-12-20,VUT,Vanuatu,152711,102308,50403,NA,729,48.56,32.53,16.03,NA,2318,292,0.093,2021-06-02,Oxford/AstraZeneca,Oceania
2021-12-17,VEN,Venezuela,30049714,18393519,11608305,NA,207518,104.68,64.08,40.44,NA,7229,109880,0.383,2021-02-18,"Abdala, Sinopharm/Beijing, Sinovac, Sputnik V",Latin America and the Caribbean
2022-01-10,VNM,Vietnam,162375421,78389408,NA,NA,1147290,165.4,79.85,NA,NA,11687,76971,0.078,2021-03-08,"Abdala, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Asia
2022-01-11,WLF,Wallis and Futuna,12247,6130,6117,NA,7,110.39,55.26,55.14,NA,631,3,0.027,2021-03-20,Moderna,Oceania
2021-12-02,YEM,Yemen,786027,556652,366587,NA,2545,2.58,1.83,1.2,NA,83,1809,0.006,2021-04-20,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",Asia
2022-01-11,ZMB,Zambia,1967446,NA,1383464,NA,23216,10.4,NA,7.31,NA,1227,NA,NA,2021-04-14,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Africa
2022-01-11,ZWE,Zimbabwe,7373738,4176673,3197065,NA,11322,48.86,27.67,21.18,NA,750,5034,0.033,2021-02-18,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Africa
