date,code,name,totalDoses,peopleVaccinated,peopleFullyVaccinated,total_boosters,dailyDosesRaw,dailyDosesAvg,totalDosesPer100,peopleVaccinatedPer100,peopleFullyVaccinatedPer100,total_boosters_per_hundred,dailyDosesAvgPer1M,daily_people_vaccinated,daily_people_vaccinated_per_hundred,country,firstShotDate,daysSinceFirstShot,cnnRegion
2023-02-05,UZB,Uzbekistan,74976351,21674823,18101452,15319866,NA,66469,216.52,62.59,52.27,44.24,1920,6241,0.018,Uzbekistan,2021-04-01,675,Asia
2023-02-10,VCT,Saint Vincent and the Grenadines,73374,37502,31610,4262,NA,2,70.58,36.07,30.41,4.1,19,1,0.001,Saint Vincent and the Grenadines,2021-02-01,739,Latin America and the Caribbean
2022-12-07,VEN,Venezuela,37860994,22157232,NA,651502,NA,0,133.78,78.29,NA,2.3,0,0,0,Venezuela,2021-02-18,657,Latin America and the Caribbean
2022-09-16,VGB,British Virgin Islands,41453,19466,18261,3726,NA,5,132.3,62.13,58.28,11.89,160,2,0.006,British Virgin Islands,2021-02-11,582,Latin America and the Caribbean
2023-02-16,VNM,Vietnam,266205206,90458097,85907573,57747048,NA,6990,271.12,92.13,87.49,58.81,71,32,0,Vietnam,2021-03-08,710,Asia
2023-02-20,VUT,Vanuatu,366638,176624,162250,27697,NA,696,112.21,54.06,49.66,8.48,2130,303,0.093,Vanuatu,2021-06-02,628,Oceania
2023-01-23,WLF,Wallis and Futuna,18058,7150,6803,3766,NA,1,155.73,61.66,58.67,32.48,86,0,0,Wallis and Futuna,2021-03-20,674,Oceania
2023-02-13,WSM,Samoa,452831,191371,177885,82117,NA,248,203.62,86.05,79.99,36.92,1115,15,0.007,Samoa,2021-04-18,666,Oceania
2023-02-23,YEM,Yemen,1255304,1016221,771383,61249,NA,242,3.73,3.02,2.29,0.18,7,195,0.001,Yemen,2021-04-20,674,Asia
2023-02-26,ZAF,South Africa,38578896,23970891,21038797,4112169,NA,8521,64.41,40.02,35.13,6.87,142,0,0,South Africa,2021-02-17,739,Africa
2023-02-04,ZMB,Zambia,12722857,NA,8683142,NA,NA,2474,63.56,NA,43.38,NA,124,NA,NA,Zambia,2021-04-14,661,Africa
2022-10-09,ZWE,Zimbabwe,12222754,6437808,4751270,1033676,NA,1126,74.89,39.45,29.11,6.33,69,332,0.002,Zimbabwe,2021-02-18,598,Africa
