date,code,name,totalDoses,peopleVaccinated,peopleFullyVaccinated,total_boosters,dailyDosesRaw,dailyDosesAvg,totalDosesPer100,peopleVaccinatedPer100,peopleFullyVaccinatedPer100,total_boosters_per_hundred,dailyDosesAvgPer1M,daily_people_vaccinated,daily_people_vaccinated_per_hundred,country,firstShotDate,daysSinceFirstShot,cnnRegion
2022-12-02,LCA,Saint Lucia,122977,60140,54971,NA,NA,5,68.37,33.43,30.56,NA,28,2,0.001,Saint Lucia,2021-02-17,653,Latin America and the Caribbean
2023-02-23,LIE,Liechtenstein,74304,26766,26462,22068,NA,1,188.8,68.01,67.24,56.07,25,0,0,Liechtenstein,2021-01-18,766,Europe
2022-10-30,LKA,Sri Lanka,40116590,17143761,14752827,8220002,NA,9386,183.75,78.53,67.57,37.65,430,908,0.004,Sri Lanka,2021-01-29,639,Asia
2023-02-19,LSO,Lesotho,1319497,1008145,932730,167263,NA,714,57.22,43.72,40.45,7.25,310,227,0.01,Lesotho,2021-03-10,711,Africa
2023-02-28,LTU,Lithuania,4544481,1956892,1880213,944031,31,36,165.25,71.16,68.37,34.33,13,6,0,Lithuania,2020-12-27,793,Europe
2023-02-25,LUX,Luxembourg,1374181,481937,NA,458795,1,18,212.2,74.42,NA,70.85,28,0,0,Luxembourg,2020-12-28,789,Europe
2022-07-11,LVA,Latvia,2895716,1346184,1305976,529562,77,119,156.47,72.74,70.57,28.61,64,15,0.001,Latvia,2020-12-28,560,Europe
2023-02-23,MAC,Macao,1797836,679090,641174,477572,NA,109,258.61,97.69,92.23,68.7,157,23,0.003,Macao,2021-02-09,744,Asia
2023-02-26,MAR,Morocco,55382185,25018888,23520330,6880292,NA,210,147.85,66.79,62.79,18.37,6,36,0,Morocco,2021-01-28,759,Africa
2021-12-21,MCO,Monaco,65140,28875,25667,10598,NA,158,178.51,79.13,70.34,29.04,4330,23,0.063,Monaco,2020-12-31,355,Europe
2023-02-05,MDA,Moldova,2278699,1106705,1075874,397541,NA,159,69.62,33.81,32.87,12.15,49,46,0.001,Moldova,2021-03-02,705,Europe
2023-02-26,MDG,Madagascar,2675087,2331784,2254972,128432,NA,3248,9.03,7.87,7.62,0.43,110,2682,0.009,Madagascar,2021-05-10,657,Africa
2023-02-12,MDV,Maldives,951511,399225,385099,167187,NA,2,181.66,76.22,73.52,31.92,4,1,0,Maldives,2021-02-01,741,Asia
2022-12-02,MEX,Mexico,225063079,99071001,82652919,NA,NA,34002,176.51,77.7,64.82,NA,267,3683,0.003,Mexico,2020-12-24,708,Latin America and the Caribbean
2023-01-08,MKD,North Macedonia,1862732,854479,838085,161593,NA,1,88.97,40.81,40.03,7.72,0,1,0,North Macedonia,2021-02-17,690,Europe
2023-02-26,MLI,Mali,4916568,3613292,2954483,NA,NA,8857,21.76,15.99,13.08,NA,392,5237,0.023,Mali,2021-03-31,697,Africa
2023-02-28,MLT,Malta,1380343,478717,471456,464551,NA,17,258.83,89.77,88.4,87.11,32,3,0.001,Malta,2020-12-27,793,Europe
2022-06-18,MMR,Myanmar,64549994,34777314,27545329,2227351,NA,229043,119.14,64.19,50.84,4.11,4227,177257,0.327,Myanmar,2021-01-27,507,Asia
2022-08-26,MNE,Montenegro,679171,292783,284869,101519,NA,91,108.31,46.69,45.43,16.19,145,29,0.005,Montenegro,2021-02-20,552,Europe
2022-05-18,MNG,Mongolia,5492919,NA,NA,1044337,NA,143,161.63,NA,NA,30.73,42,NA,NA,Mongolia,2021-02-23,449,Asia
2023-01-29,MOZ,Mozambique,29457535,18641485,18466955,1083523,NA,15100,89.35,56.54,56.01,3.29,458,70,0,Mozambique,2021-03-08,692,Africa
2023-02-26,MRT,Mauritania,4068530,2100271,1537811,383018,NA,294,85.9,44.35,32.47,8.09,62,26,0.001,Mauritania,2021-03-26,702,Africa
2022-12-16,MSR,Montserrat,4619,2104,1952,563,NA,1,104.67,47.68,44.23,12.76,227,0,0,Montserrat,2021-02-08,676,Latin America and the Caribbean
2023-02-26,MUS,Mauritius,2614235,1123773,1088142,639982,NA,14,201.18,86.48,83.74,49.25,11,0,0,Mauritius,2021-01-26,761,Africa
2023-02-12,MWI,Malawi,7159342,4950288,3945109,1832738,NA,11433,35.09,24.26,19.33,8.98,560,0,0,Malawi,2021-03-11,703,Africa
2023-03-01,MYS,Malaysia,72578078,28130393,27542128,17123741,743,1009,213.85,82.89,81.15,50.46,30,98,0,Malaysia,2021-02-24,735,Asia
2023-02-26,"NAM",Namibia,981773,609695,532558,294086,NA,62,38.25,23.75,20.75,11.46,24,47,0.002,Namibia,2021-03-19,709,Africa
2023-02-27,NCL,New Caledonia,479880,192302,184726,102852,NA,19,165.5,66.32,63.71,35.47,66,2,0.001,New Caledonia,2021-01-20,768,Oceania
2023-01-29,NER,Niger,7241942,6124474,5360404,NA,NA,1107,27.63,23.37,20.45,NA,42,1064,0.004,Niger,2021-03-29,671,Africa
2023-02-05,NGA,Nigeria,111985403,79248347,66717081,10859974,NA,140443,51.24,36.26,30.53,4.97,643,97893,0.045,Nigeria,2021-03-05,702,Africa
2023-02-24,NIC,Nicaragua,12254393,6232288,6022105,NA,NA,1863,176.36,89.69,86.67,NA,268,539,0.008,Nicaragua,2021-03-02,724,Latin America and the Caribbean
2022-10-18,NIU,Niue,4920,1636,1634,1224,NA,67,252.05,83.81,83.71,62.7,34324,29,1.486,Niue,2021-06-03,502,Oceania
2022-09-02,NLD,Netherlands,36104942,12775557,11957652,9417108,NA,1974,205.56,72.74,68.08,53.62,112,64,0,Netherlands,2021-01-06,604,Europe
2022-11-13,NOR,Norway,12145560,4346995,4054726,3743839,3,2914,223.5,79.99,74.61,68.89,536,19,0,Norway,2020-12-27,686,Europe
2023-02-14,NPL,Nepal,60976433,27718158,24232876,9025399,NA,6694,199.61,90.74,79.33,29.55,219,1417,0.005,Nepal,2021-01-27,748,Asia
2023-02-20,NRU,Nauru,32157,13106,11346,7705,NA,55,253.38,103.27,89.4,60.71,4334,13,0.102,Nauru,2021-04-09,682,Oceania
2023-02-28,NZL,New Zealand,11985710,4301076,4140472,3544162,196,219,231.15,82.95,79.85,68.35,42,15,0,New Zealand,2021-02-20,738,Oceania
2022-10-25,OMN,Oman,7086050,3257365,3048826,779859,NA,92,154.84,71.18,66.62,17.04,20,8,0,Oman,2020-12-27,667,Asia
2022-12-04,OWID_CYN,Northern Cyprus,861519,301673,NA,NA,NA,655,225.04,78.8,NA,NA,1711,46,0.012,Northern Cyprus,2021-01-15,688,Europe
2023-02-23,PAK,Pakistan,333662084,162218112,139227429,50114329,NA,6594,141.49,68.79,59.04,21.25,28,0,0,Pakistan,2021-02-02,751,Asia
2023-02-10,PAN,Panama,8756680,3526529,3168992,2027869,NA,3815,198.63,79.99,71.88,46,865,142,0.003,Panama,2021-01-20,751,Latin America and the Caribbean
2022-08-29,PCN,Pitcairn,117,47,47,23,NA,0,248.94,100,100,48.94,0,0,0,Pitcairn,2021-05-18,468,Oceania
2023-02-27,PER,Peru,87898839,30330105,28531631,29037103,7164,15815,258.15,89.08,83.79,85.28,464,1442,0.004,Peru,2021-02-09,748,Latin America and the Caribbean
2023-02-16,PHL,Philippines,170457489,78459295,74019226,21642800,NA,12965,147.51,67.9,64.05,18.73,112,2147,0.002,Philippines,2021-03-01,717,Asia
2023-02-27,PNG,Papua New Guinea,720453,373949,313330,33174,NA,388,7.1,3.69,3.09,0.33,38,186,0.002,Papua New Guinea,2021-03-31,698,Oceania
2023-02-28,POL,Poland,57912594,22870409,22641944,15285870,1257,1229,145.3,57.38,56.81,38.35,31,90,0,Poland,2020-12-27,793,Europe
2023-02-10,PRT,Portugal,28106464,9779388,8893649,7043690,NA,2332,273.65,95.21,86.59,68.58,227,32,0,Portugal,2020-12-27,775,Europe
2023-02-10,PRY,Paraguay,9568675,3985466,3541521,2041688,NA,2154,141.12,58.78,52.23,30.11,318,94,0.001,Paraguay,2021-02-22,718,Latin America and the Caribbean
2022-10-18,PSE,West Bank + Gaza,3748571,2012767,1776973,336967,NA,106,71.4,38.34,33.85,6.42,20,33,0.001,West Bank + Gaza,2021-02-02,623,Asia
2023-01-31,PYF,French Polynesia,502352,190908,186203,112237,NA,73,164.01,62.33,60.79,36.64,238,2,0.001,French Polynesia,2021-01-14,747,Oceania
2023-02-26,QAT,Qatar,7607265,2851698,2851698,1903869,NA,61,282.26,105.81,105.81,70.64,23,12,0,Qatar,2020-12-23,795,Asia
2022-06-11,ROU,Romania,16827486,NA,8114769,NA,1208,1208,85.6,NA,41.28,NA,61,5468,0.028,Romania,2020-12-27,531,Europe
2023-02-24,RUS,Russia,185672750,88341484,79537850,20032210,NA,6059,128.3,61.05,54.96,13.84,42,2081,0.001,Russia,2020-12-05,811,Europe
2023-01-01,RWA,Rwanda,26106436,10572981,9897876,5879013,NA,0,189.5,76.75,71.85,42.67,0,0,0,Rwanda,2021-02-14,686,Africa
2022-12-04,SAU,Saudi Arabia,68148406,26951666,25351683,NA,NA,25787,187.18,74.03,69.63,NA,708,3552,0.01,Saudi Arabia,2020-12-17,717,Asia
2023-02-21,SDN,Sudan,18425870,12579213,10540038,2754272,NA,100639,39.31,26.84,22.49,5.88,2147,51042,0.109,Sudan,2021-03-09,714,Africa
2023-02-12,SEN,Senegal,2928086,2684696,1438733,815965,NA,578,16.91,15.5,8.31,4.71,33,73656,0.425,Senegal,2021-02-23,719,Africa
2022-10-25,SGP,Singapore,14727569,5137637,5093804,4440289,3779,1692,261.27,91.14,90.36,78.77,300,168,0.003,Singapore,2020-12-30,664,Asia
